flight,seed,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt1,0,proposed,118.38920607941982,1.5722543352601157,20.0,286817668.92328185,70.0,1034.0,32.814581475254855,21.93713,1903
Opt1,0,periodic,120.74057780729883,4.4944823962165,9.0,286817668.92328185,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,0,event,118.24398984420439,0.02469784550709406,2.0,286817668.92328185,1856.0,0.0,32.814581475254855,21.93713,1903
Opt1,0,unconditional,118.24393318636395,0.0,0.0,286817668.92328185,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,1,proposed,118.41335054022026,1.4624277456647399,20.0,286951752.08984417,68.0,1043.0,32.814581475254855,21.93713,1903
Opt1,1,periodic,120.81811712614464,4.4944823962165,9.0,286951752.08984417,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,1,event,118.27155266196034,0.02469784550709406,2.0,286951752.08984417,1856.0,0.0,32.814581475254855,21.93713,1903
Opt1,1,unconditional,118.27101425225281,0.0,0.0,286951752.08984417,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,2,proposed,118.30453410500418,1.6022070415134,20.0,286309826.8376957,66.0,1046.0,32.814581475254855,21.93713,1903
Opt1,2,periodic,120.69337734886649,4.4944823962165,9.0,286309826.8376957,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,2,event,118.13889107086261,0.023121387283236993,2.0,286309826.8376957,1859.0,0.0,32.814581475254855,21.93713,1903
Opt1,2,unconditional,118.13878600210704,0.0,0.0,286309826.8376957,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,3,proposed,118.50298289418835,1.557015239096164,20.0,286895181.44524515,71.0,1036.0,32.814581475254855,21.93713,1903
Opt1,3,periodic,120.76854368053421,4.4944823962165,9.0,286895181.44524515,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,3,event,118.25963488105803,0.02417235943247504,2.0,286895181.44524515,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,3,unconditional,118.2594418749014,0.0,0.0,286895181.44524515,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,4,proposed,118.27043367901484,1.578560168155544,20.0,286167264.95492893,71.0,1033.0,32.814581475254855,21.93713,1903
Opt1,4,periodic,120.66854237614655,4.4944823962165,9.0,286167264.95492893,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,4,event,118.10993213169674,0.023646873357856018,2.0,286167264.95492893,1858.0,0.0,32.814581475254855,21.93713,1903
Opt1,4,unconditional,118.10934062300291,0.0,0.0,286167264.95492893,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,5,proposed,118.37359487327863,1.5675249605885444,20.0,286698408.0902711,69.0,1044.0,32.814581475254855,21.93713,1903
Opt1,5,periodic,120.73465363534876,4.4944823962165,9.0,286698408.0902711,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,5,event,118.21975830779685,0.02627430373095113,1.0,286698408.0902711,1852.0,0.0,32.814581475254855,21.93713,1903
Opt1,5,unconditional,118.21897516781819,0.0,0.0,286698408.0902711,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,6,proposed,118.35732959188718,1.5706778770362586,20.0,286472564.1677295,73.0,1041.0,32.814581475254855,21.93713,1903
Opt1,6,periodic,120.69874222072244,4.4944823962165,9.0,286472564.1677295,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,6,event,118.17252630829661,0.025748817656332107,2.0,286472564.1677295,1855.0,0.0,32.814581475254855,21.93713,1903
Opt1,6,unconditional,118.17229704145313,0.0,0.0,286472564.1677295,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,7,proposed,118.37590716152019,1.5869679453494483,20.0,286728260.6104744,70.0,1046.0,32.814581475254855,21.93713,1903
Opt1,7,periodic,120.79127981593396,4.4944823962165,9.0,286728260.6104744,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,7,event,118.22454732893624,0.02417235943247504,2.0,286728260.6104744,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,7,unconditional,118.22495624950187,0.0,0.0,286728260.6104744,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,8,proposed,118.32450551998663,1.5391487125591172,20.0,286574837.3848751,73.0,1038.0,32.814581475254855,21.93713,1903
Opt1,8,periodic,120.73634479797076,4.4944823962165,9.0,286574837.3848751,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,8,event,118.19399693363276,0.025748817656332107,2.0,286574837.3848751,1854.0,0.0,32.814581475254855,21.93713,1903
Opt1,8,unconditional,118.19351130216975,0.0,0.0,286574837.3848751,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,9,proposed,118.48403357121109,1.5675249605885444,20.0,287040098.0443221,70.0,1035.0,32.814581475254855,21.93713,1903
Opt1,9,periodic,120.77362645170754,4.4944823962165,9.0,287040098.0443221,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,9,event,118.29024639369105,0.02417235943247504,2.0,287040098.0443221,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,9,unconditional,118.28936908919106,0.0,0.0,287040098.0443221,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,10,proposed,118.34089716467393,1.5086705202312138,20.0,286343103.2483715,71.0,1046.0,32.814581475254855,21.93713,1903
Opt1,10,periodic,120.70969535333624,4.4944823962165,9.0,286343103.2483715,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,10,event,118.14607547557125,0.02259590120861797,1.0,286343103.2483715,1859.0,0.0,32.814581475254855,21.93713,1903
Opt1,10,unconditional,118.14586462495849,0.0,0.0,286343103.2483715,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,11,proposed,118.36020091686689,1.6064109301103522,20.0,286387751.1543692,71.0,1033.0,32.814581475254855,21.93713,1903
Opt1,11,periodic,120.70466443799408,4.4944823962165,9.0,286387751.1543692,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,11,event,118.15497329559798,0.025748817656332107,1.0,286387751.1543692,1853.0,0.0,32.814581475254855,21.93713,1903
Opt1,11,unconditional,118.15476444129649,0.0,0.0,286387751.1543692,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,12,proposed,118.39099161040104,1.5980031529164478,20.0,286695997.6224885,72.0,1036.0,32.814581475254855,21.93713,1903
Opt1,12,periodic,120.74362152456844,4.4944823962165,9.0,286695997.6224885,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,12,event,118.21847953683974,0.023646873357856018,1.0,286695997.6224885,1857.0,0.0,32.814581475254855,21.93713,1903
Opt1,12,unconditional,118.21840813124842,0.0,0.0,286695997.6224885,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,13,proposed,118.36404320961094,1.5133998949027851,20.0,286378534.0986379,70.0,1039.0,32.814581475254855,21.93713,1903
Opt1,13,periodic,120.68592466890603,4.4944823962165,9.0,286378534.0986379,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,13,event,118.15329073796512,0.02469784550709406,2.0,286378534.0986379,1856.0,0.0,32.814581475254855,21.93713,1903
Opt1,13,unconditional,118.15310165679631,0.0,0.0,286378534.0986379,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,14,proposed,118.35079067743493,1.6148187073042564,20.0,286626677.59816945,75.0,1027.0,32.814581475254855,21.93713,1903
Opt1,14,periodic,120.7217132217917,4.4944823962165,9.0,286626677.59816945,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,14,event,118.20448256651804,0.026799789805570153,2.0,286626677.59816945,1852.0,0.0,32.814581475254855,21.93713,1903
Opt1,14,unconditional,118.20423373400325,0.0,0.0,286626677.59816945,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,15,proposed,118.37115350193156,1.5354703100367841,20.0,286622638.8153332,76.0,1027.0,32.814581475254855,21.93713,1903
Opt1,15,periodic,120.71297374432987,4.4944823962165,9.0,286622638.8153332,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,15,event,118.20360988675056,0.021544929059379925,1.0,286622638.8153332,1861.0,0.0,32.814581475254855,21.93713,1903
Opt1,15,unconditional,118.20331918824891,0.0,0.0,286622638.8153332,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,16,proposed,118.31458177548781,1.5470310036784025,20.0,286451141.7908401,69.0,1043.0,32.814581475254855,21.93713,1903
Opt1,16,periodic,120.69572248245127,4.4944823962165,9.0,286451141.7908401,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,16,event,118.1683151045755,0.025223331581713086,2.0,286451141.7908401,1855.0,0.0,32.814581475254855,21.93713,1903
Opt1,16,unconditional,118.16811076624033,0.0,0.0,286451141.7908401,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,17,proposed,118.25786582662833,1.6085128744088282,20.0,286394261.3202625,71.0,1029.0,32.814581475254855,21.93713,1903
Opt1,17,periodic,120.68286898690823,4.4944823962165,9.0,286394261.3202625,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,17,event,118.15649618726523,0.025223331581713086,2.0,286394261.3202625,1855.0,0.0,32.814581475254855,21.93713,1903
Opt1,17,unconditional,118.15623792325819,0.0,0.0,286394261.3202625,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,18,proposed,118.32753720402224,1.604308985811876,20.0,286703188.77725184,69.0,1039.0,32.814581475254855,21.93713,1903
Opt1,18,periodic,120.73728043011184,4.4944823962165,9.0,286703188.77725184,190.0,0.0,32.814581475254855,21.93713,1903
Opt1,18,event,118.22031208585172,0.025223331581713086,2.0,286703188.77725184,1855.0,0.0,32.814581475254855,21.93713,1903
Opt1,18,unconditional,118.21995673234771,0.0,0.0,286703188.77725184,1902.0,0.0,32.814581475254855,21.93713,1903
Opt1,19,proposed,118.26094268726473,1.5638465580662113,20.0,286229143.3239775,71.0,1033.0,32.814581475254855,21.93713,1903
Opt1,19,periodic,120.68496893864584,4.4944823962165,9.0,286229143.3239775,190.0,0.0,32.814581475254855,21.93713,1903
