seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
0,unconditional,good,0.48829951889323275,0.0,0.0,4709.509711736834,800,0
0,periodic,good,0.5667689895544079,4.5,9.0,4709.509711736834,80,0
0,event,good,0.528512756842469,17.52,65.0,4709.509711736834,29,0
0,proposed,good,0.4941286119596494,3.9275,20.0,4709.509711736834,9,157
1,unconditional,good,0.1192608203314759,0.0,0.0,3418.422778673564,800,0
1,periodic,good,0.12058434410801078,4.5,9.0,3418.422778673564,80,0
1,event,good,0.19917485448642058,21.005,103.0,3418.422778673564,30,0
1,proposed,good,0.13419619327908555,3.36375,17.0,3418.422778673564,5,178
2,unconditional,good,0.061221287384360154,0.0,0.0,158.8315159465248,800,0
2,periodic,good,0.1041631903079989,4.5,9.0,158.8315159465248,80,0
2,event,good,0.16572068917891902,16.21,45.0,158.8315159465248,28,0
2,proposed,good,0.0827372722913592,3.8825,20.0,158.8315159465248,3,158
3,unconditional,good,0.05925059002097627,0.0,0.0,175.08721451459456,800,0
3,periodic,good,0.0977224336083071,4.5,9.0,175.08721451459456,80,0
3,event,good,0.1706629373372281,16.6725,48.0,175.08721451459456,26,0
3,proposed,good,0.07887777877604393,4.2525,20.0,175.08721451459456,3,153
4,unconditional,good,0.05773467263167761,0.0,0.0,181.78895642689102,800,0
4,periodic,good,0.09627765049091883,4.5,9.0,181.78895642689102,80,0
4,event,good,0.17042044508768883,18.595,80.0,181.78895642689102,25,0
4,proposed,good,0.07650074535912627,4.11125,20.0,181.78895642689102,4,153
5,unconditional,good,0.06043976236596258,0.0,0.0,171.37661539393858,800,0
5,periodic,good,0.08944166475941714,4.5,9.0,171.37661539393858,80,0
5,event,good,0.1591359598401586,20.90875,79.0,171.37661539393858,23,0
5,proposed,good,0.08382013225075226,4.035,20.0,171.37661539393858,3,164
6,unconditional,good,0.06110759692444842,0.0,0.0,159.97314782589703,800,0
6,periodic,good,0.10640561347608944,4.5,9.0,159.97314782589703,80,0
6,event,good,0.1693732077030617,19.56375,60.0,159.97314782589703,23,0
6,proposed,good,0.08004488577353057,4.17875,20.0,159.97314782589703,3,164
7,unconditional,good,0.08639959687384322,0.0,0.0,848.5390647420185,800,0
7,periodic,good,0.11037775170916725,4.5,9.0,848.5390647420185,80,0
7,event,good,0.1874188623874674,17.15625,64.0,848.5390647420185,30,0
7,proposed,good,0.1033994783180149,3.99125,20.0,848.5390647420185,6,165
8,unconditional,good,0.061135102565176756,0.0,0.0,160.84191383567625,800,0
8,periodic,good,0.10741921156019857,4.5,9.0,160.84191383567625,80,0
8,event,good,0.16074428183014852,21.18875,94.0,160.84191383567625,25,0
8,proposed,good,0.07840185840608516,4.1725,20.0,160.84191383567625,4,158
9,unconditional,good,0.10616136266919804,0.0,0.0,2390.2109754510775,800,0
9,periodic,good,0.11512615980041672,4.5,9.0,2390.2109754510775,80,0
