filter,method,param,seed,rmse_twin,sync_count,mean_aoi
fixed,proposed,0.3,0,0.39273225476599793,276,1.2575
fixed,proposed,0.3,1,0.41657374299018374,258,1.14625
fixed,proposed,0.3,2,0.40040232124808744,267,1.41875
fixed,proposed,0.3,3,0.3359974692133731,270,1.3075
fixed,proposed,0.3,4,0.34524299057804936,275,1.1175
fixed,proposed,0.3,5,0.3530259849349554,241,1.685
fixed,proposed,0.3,6,0.3515079044457929,266,1.26625
fixed,proposed,0.3,7,0.3655432286421444,252,1.2325
fixed,proposed,0.3,8,0.34020041669105305,249,1.265
fixed,proposed,0.3,9,0.3707635330344798,268,1.25125
fixed,proposed,0.3,10,0.3507654565316009,257,1.31875
fixed,proposed,0.3,11,0.3071868649935444,225,1.6025
fixed,proposed,0.3,12,0.37261321751725385,271,1.12125
fixed,proposed,0.3,13,0.38108398584292974,236,1.39375
fixed,proposed,0.3,14,0.360034421987511,228,1.36875
fixed,proposed,0.5,0,0.3999742912200326,171,0.98125
fixed,proposed,0.5,1,0.42263902216532173,169,1.12
fixed,proposed,0.5,2,0.40675196907160893,173,1.305
fixed,proposed,0.5,3,0.3450774323555458,165,1.1125
fixed,proposed,0.5,4,0.3536751252439231,166,1.01125
fixed,proposed,0.5,5,0.35956332692439813,157,1.515
fixed,proposed,0.5,6,0.35931133528357634,162,1.1925
fixed,proposed,0.5,7,0.37340651103939,148,1.12375
fixed,proposed,0.5,8,0.34734089643639043,157,1.22875
fixed,proposed,0.5,9,0.37882303333523026,162,1.1675
fixed,proposed,0.5,10,0.3576476420361787,154,1.2375
fixed,proposed,0.5,11,0.31361927471798584,133,1.6475
fixed,proposed,0.5,12,0.3796046085773252,169,1.1375
fixed,proposed,0.5,13,0.38704510066238484,155,1.2975
fixed,proposed,0.5,14,0.36700638887581133,137,1.15625
fixed,proposed,0.75,0,0.40645614729577123,122,0.96125
fixed,proposed,0.75,1,0.4281490102606029,131,1.10125
fixed,proposed,0.75,2,0.41159981387729344,132,1.305
