filter,method,param,seed,rmse_twin,sync_count,mean_aoi
good,proposed,0.3,0,0.4907072485385272,42,3.16
good,proposed,0.3,1,0.12743921903993014,52,2.90875
good,proposed,0.3,2,0.07331995671045154,36,3.4325
good,proposed,0.3,3,0.07067796080126997,40,3.735
good,proposed,0.3,4,0.06798489553086118,33,3.4625
good,proposed,0.3,5,0.07411425915324028,44,3.63875
good,proposed,0.3,6,0.07202851520212264,56,3.17625
good,proposed,0.3,7,0.09778928312672597,50,3.17875
good,proposed,0.3,8,0.07078299332724698,47,3.95875
good,proposed,0.3,9,0.11446822924594376,40,3.475
good,proposed,0.3,10,0.07259134601750958,35,3.48375
good,proposed,0.3,11,0.07042344252538361,34,3.0125
good,proposed,0.3,12,6.497811497300202,66,4.29375
good,proposed,0.3,13,0.07008963305074148,40,3.8825
good,proposed,0.3,14,0.0774749625396787,44,3.41875
good,proposed,0.5,0,0.4911808094225526,17,3.1925
good,proposed,0.5,1,0.12806105694570472,12,2.83875
good,proposed,0.5,2,0.07354752638147698,13,3.51
good,proposed,0.5,3,0.06981117331513295,9,3.5175
good,proposed,0.5,4,0.068382034015531,9,3.41
good,proposed,0.5,5,0.07331358143666163,12,3.62875
good,proposed,0.5,6,0.07236652863283016,13,3.1725
good,proposed,0.5,7,0.09836865441491098,14,3.075
good,proposed,0.5,8,0.07043619035988283,15,3.89125
good,proposed,0.5,9,0.11500455933540663,11,3.26625
good,proposed,0.5,10,0.0723248675081637,11,3.42875
good,proposed,0.5,11,0.07029849084452508,10,3.01125
good,proposed,0.5,12,6.498337907585506,34,4.1575
good,proposed,0.5,13,0.06998097480101494,11,3.79625
good,proposed,0.5,14,0.07639736725651984,12,3.39
good,proposed,0.75,0,0.49180819060487646,11,3.2025
good,proposed,0.75,1,0.12857502698384946,8,2.8375
good,proposed,0.75,2,0.07325285329178033,6,3.50125
good,proposed,0.75,3,0.07001336090640643,7,3.495
good,proposed,0.75,4,0.06858186936905523,6,3.4075
good,proposed,0.75,5,0.07317574841540316,6,3.61875
good,proposed,0.75,6,0.07200984764745116,8,3.1675
good,proposed,0.75,7,0.09832293267400573,8,3.07125
good,proposed,0.75,8,0.07056723291828242,7,3.8925
good,proposed,0.75,9,0.11513354262997622,9,3.26375
good,proposed,0.75,10,0.07235036310694944,7,3.42125
good,proposed,0.75,11,0.07037956420333528,7,3.01125
good,proposed,0.75,12,6.4986856138650735,25,4.1475
good,proposed,0.75,13,0.06980707758755618,7,3.7975
good,proposed,0.75,14,0.07652975499835317,7,3.39
good,proposed,1.0,0,0.49180043018651737,10,3.2025
good,proposed,1.0,1,0.128641560201253,7,2.8375
good,proposed,1.0,2,0.07322274569174024,3,3.50125
good,proposed,1.0,3,0.07008508978694358,5,3.5125
good,proposed,1.0,4,0.06858553534673457,5,3.39625
good,proposed,1.0,5,0.07307918082133998,4,3.61625
good,proposed,1.0,6,0.07214396137289379,4,3.16875
good,proposed,1.0,7,0.09832293267400573,8,3.07125
good,proposed,1.0,8,0.07058603738341071,6,3.89125
good,proposed,1.0,9,0.11529936991327314,6,3.26375
good,proposed,1.0,10,0.07259271144924054,6,3.52625
good,proposed,1.0,11,0.0705294079749159,6,3.01125
