seq,seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
scenario23_seq20,0,proposed,good,65.10048079741843,8.01526717557252,20.0,21295888.17411166,48,13
scenario23_seq20,0,periodic,good,65.98075000421751,4.469465648854962,9.0,21295888.17411166,26,0
scenario23_seq20,0,event,good,65.98504157757762,98.38931297709924,225.0,21295888.17411166,8,0
scenario23_seq20,0,unconditional,good,65.97963861293975,0.0,0.0,21295888.17411166,261,0
scenario23_seq20,1,proposed,good,58.874496098485345,8.01526717557252,20.0,17391663.778819907,49,12
scenario23_seq20,1,periodic,good,59.53124316438074,4.469465648854962,9.0,17391663.778819907,26,0
scenario23_seq20,1,event,good,59.52935226087703,117.85496183206106,248.0,17391663.778819907,11,0
scenario23_seq20,1,unconditional,good,59.529330249515496,0.0,0.0,17391663.778819907,261,0
scenario23_seq20,2,proposed,good,50.46092877974491,7.213740458015267,20.0,12783968.20175671,69,12
scenario23_seq20,2,periodic,good,51.04546846974935,4.469465648854962,9.0,12783968.20175671,26,0
scenario23_seq20,2,event,good,51.04240377357274,117.8587786259542,248.0,12783968.20175671,10,0
scenario23_seq20,2,unconditional,good,51.04234921044205,0.0,0.0,12783968.20175671,261,0
scenario23_seq20,3,proposed,good,45.73776935613514,7.213740458015267,20.0,10510571.626788298,69,12
scenario23_seq20,3,periodic,good,46.25280913522416,4.469465648854962,9.0,10510571.626788298,26,0
scenario23_seq20,3,event,good,46.248296290223855,116.91221374045801,247.0,10510571.626788298,11,0
scenario23_seq20,3,unconditional,good,46.248270124500905,0.0,0.0,10510571.626788298,261,0
scenario23_seq20,4,proposed,good,51.27138353059151,7.213740458015267,20.0,13204047.917512542,69,12
scenario23_seq20,4,periodic,good,51.856468603241765,4.469465648854962,9.0,13204047.917512542,26,0
scenario23_seq20,4,event,good,51.85292098647241,116.91221374045801,247.0,13204047.917512542,11,0
scenario23_seq20,4,unconditional,good,51.85288964071226,0.0,0.0,13204047.917512542,261,0
scenario23_seq20,5,proposed,good,64.29972115831967,8.01526717557252,20.0,20960994.40786921,48,13
scenario23_seq20,5,periodic,good,65.42829471591169,4.469465648854962,9.0,20960994.40786921,26,0
scenario23_seq20,5,event,good,65.41935956961558,118.81297709923665,249.0,20960994.40786921,9,0
scenario23_seq20,5,unconditional,good,65.41915918184952,0.0,0.0,20960994.40786921,261,0
scenario23_seq20,6,proposed,good,45.13211276042128,7.213740458015267,20.0,10225125.952296702,69,12
scenario23_seq20,6,periodic,good,45.61888795420104,4.469465648854962,9.0,10225125.952296702,26,0
scenario23_seq20,6,event,good,45.615260808638865,115.04580152671755,245.0,10225125.952296702,10,0
scenario23_seq20,6,unconditional,good,45.61514899330846,0.0,0.0,10225125.952296702,261,0
scenario23_seq20,7,proposed,good,50.7638970184391,7.213740458015267,20.0,12951462.928492643,69,12
scenario23_seq20,7,periodic,good,51.36425377163956,4.469465648854962,9.0,12951462.928492643,26,0
scenario23_seq20,7,event,good,51.360079171755125,116.94274809160305,247.0,12951462.928492643,7,0
scenario23_seq20,7,unconditional,good,51.36004995044581,0.0,0.0,12951462.928492643,261,0
scenario23_seq20,8,proposed,good,53.930698457652774,8.01526717557252,20.0,14698744.111008571,46,15
scenario23_seq20,8,periodic,good,54.782434814577954,4.469465648854962,9.0,14698744.111008571,26,0
scenario23_seq20,8,event,good,54.80937904410731,108.82442748091603,238.0,14698744.111008571,8,0
scenario23_seq20,8,unconditional,good,54.771711277658106,0.0,0.0,14698744.111008571,261,0
scenario23_seq20,9,proposed,good,34.42075555380363,7.213740458015267,20.0,5949113.011109172,70,11
scenario23_seq20,9,periodic,good,34.765842196115685,4.469465648854962,9.0,5949113.011109172,26,0
scenario23_seq20,9,event,good,34.77993995963048,116.91603053435115,247.0,5949113.011109172,11,0
scenario23_seq20,9,unconditional,good,34.760391473672186,0.0,0.0,5949113.011109172,261,0
scenario23_seq20,10,proposed,good,50.874764559571744,7.213740458015267,20.0,12994752.236460948,69,12
scenario23_seq20,10,periodic,good,51.44268205421649,4.469465648854962,9.0,12994752.236460948,26,0
scenario23_seq20,10,event,good,51.44228131962957,95.73282442748092,222.0,12994752.236460948,10,0
scenario23_seq20,10,unconditional,good,51.43893721199667,0.0,0.0,12994752.236460948,261,0
scenario23_seq20,11,proposed,good,51.68985687632497,7.213740458015267,20.0,13433724.337295555,69,12
scenario23_seq20,11,periodic,good,52.325397830660606,4.469465648854962,9.0,13433724.337295555,26,0
scenario23_seq20,11,event,good,52.32229426959766,118.80534351145039,249.0,13433724.337295555,10,0
scenario23_seq20,11,unconditional,good,52.322280818732715,0.0,0.0,13433724.337295555,261,0
scenario23_seq20,12,proposed,good,48.073097512295554,7.213740458015267,20.0,11627078.87518749,69,12
scenario23_seq20,12,periodic,good,48.67790194257186,4.469465648854962,9.0,11627078.87518749,26,0
scenario23_seq20,12,event,good,48.67464440065471,117.86641221374046,248.0,11627078.87518749,9,0
scenario23_seq20,12,unconditional,good,48.67418032725205,0.0,0.0,11627078.87518749,261,0
scenario23_seq20,13,proposed,good,48.474832506709234,7.213740458015267,20.0,11821342.368116505,69,12
