seq,seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
scenario23_seq20,0,proposed,good,65.9839894311935,9.095419847328245,20.0,21296705.269393858,9,15
scenario23_seq20,0,periodic,good,65.98210411412525,4.469465648854962,9.0,21296705.269393858,26,0
scenario23_seq20,0,event,good,65.98641037956521,98.38931297709924,225.0,21296705.269393858,8,0
scenario23_seq20,0,unconditional,good,65.98099149291252,0.0,0.0,21296705.269393858,261,0
scenario23_seq20,1,proposed,good,59.620565958355066,9.400763358778626,20.0,17444741.07261971,13,11
scenario23_seq20,1,periodic,good,59.62245814041309,4.469465648854962,9.0,17444741.07261971,26,0
scenario23_seq20,1,event,good,59.62058696208005,117.85496183206106,248.0,17444741.07261971,11,0
scenario23_seq20,1,unconditional,good,59.62056528648424,0.0,0.0,17444741.07261971,261,0
scenario23_seq20,2,proposed,good,51.05544607247271,8.992366412213741,20.0,12789593.132193608,12,15
scenario23_seq20,2,periodic,good,51.057026009748895,4.469465648854962,9.0,12789593.132193608,26,0
scenario23_seq20,2,event,good,51.053975714804686,117.8587786259542,248.0,12789593.132193608,10,0
scenario23_seq20,2,unconditional,good,51.05392009031745,0.0,0.0,12789593.132193608,261,0
scenario23_seq20,3,proposed,good,46.2494776262476,9.335877862595419,20.0,10510995.817070816,14,11
scenario23_seq20,3,periodic,good,46.25400995739864,4.469465648854962,9.0,10510995.817070816,26,0
scenario23_seq20,3,event,good,46.24950428814902,116.91221374045801,247.0,10510995.817070816,11,0
scenario23_seq20,3,unconditional,good,46.24947719465596,0.0,0.0,10510995.817070816,261,0
scenario23_seq20,4,proposed,good,51.936260663302555,9.053435114503817,20.0,13245604.596210718,13,14
scenario23_seq20,4,periodic,good,51.9383329661638,4.469465648854962,9.0,13245604.596210718,26,0
scenario23_seq20,4,event,good,51.934796543684925,116.91221374045801,247.0,13245604.596210718,11,0
scenario23_seq20,4,unconditional,good,51.93476383690391,0.0,0.0,13245604.596210718,261,0
scenario23_seq20,5,proposed,good,65.42163223325011,9.187022900763358,20.0,20961681.193692002,10,15
scenario23_seq20,5,periodic,good,65.42946299525772,4.469465648854962,9.0,20961681.193692002,26,0
scenario23_seq20,5,event,good,65.42052602001087,118.81297709923665,249.0,20961681.193692002,9,0
scenario23_seq20,5,unconditional,good,65.42032769450883,0.0,0.0,20961681.193692002,261,0
scenario23_seq20,6,proposed,good,45.647415977124155,9.335877862595419,20.0,10239338.505637411,14,11
scenario23_seq20,6,periodic,good,45.651125520383395,4.469465648854962,9.0,10239338.505637411,26,0
scenario23_seq20,6,event,good,45.647522675702035,115.04580152671755,245.0,10239338.505637411,10,0
scenario23_seq20,6,unconditional,good,45.647407021940936,0.0,0.0,10239338.505637411,261,0
scenario23_seq20,7,proposed,good,51.43484551542974,8.923664122137405,20.0,12987823.540288689,12,15
scenario23_seq20,7,periodic,good,51.43722277694307,4.469465648854962,9.0,12987823.540288689,26,0
scenario23_seq20,7,event,good,51.43310045773751,116.94274809160305,247.0,12987823.540288689,7,0
scenario23_seq20,7,unconditional,good,51.43307041271861,0.0,0.0,12987823.540288689,261,0
scenario23_seq20,8,proposed,good,54.69660254665187,7.786259541984733,20.0,14653778.15231381,9,25
scenario23_seq20,8,periodic,good,54.698453754318926,4.469465648854962,9.0,14653778.15231381,26,0
scenario23_seq20,8,event,good,54.72473316276875,109.69465648854961,239.0,14653778.15231381,8,0
scenario23_seq20,8,unconditional,good,54.68769825480702,0.0,0.0,14653778.15231381,261,0
scenario23_seq20,9,proposed,good,34.71334436892889,8.01908396946565,20.0,5931265.098641312,13,18
scenario23_seq20,9,periodic,good,34.71421661946037,4.469465648854962,9.0,5931265.098641312,26,0
scenario23_seq20,9,event,good,34.73330132985304,116.91603053435115,247.0,5931265.098641312,11,0
scenario23_seq20,9,unconditional,good,34.708084842736255,0.0,0.0,5931265.098641312,261,0
scenario23_seq20,10,proposed,good,51.47412468217761,9.049618320610687,20.0,13011568.00172022,13,15
scenario23_seq20,10,periodic,good,51.47631263427216,4.469465648854962,9.0,13011568.00172022,26,0
scenario23_seq20,10,event,good,51.47577923133743,96.4885496183206,223.0,13011568.00172022,10,0
scenario23_seq20,10,unconditional,good,51.47258255510008,0.0,0.0,13011568.00172022,261,0
scenario23_seq20,11,proposed,good,52.35049344722564,9.469465648854962,20.0,13447912.75369222,11,12
scenario23_seq20,11,periodic,good,52.35357518756587,4.469465648854962,9.0,13447912.75369222,26,0
scenario23_seq20,11,event,good,52.35051765095591,117.8587786259542,248.0,13447912.75369222,10,0
scenario23_seq20,11,unconditional,good,52.3504861194451,0.0,0.0,13447912.75369222,261,0
scenario23_seq20,12,proposed,good,48.70229151834725,9.022900763358779,20.0,11639458.397428334,11,16
scenario23_seq20,12,periodic,good,48.704343751471406,4.469465648854962,9.0,11639458.397428334,26,0
scenario23_seq20,12,event,good,48.701179352971856,117.86641221374046,248.0,11639458.397428334,9,0
scenario23_seq20,12,unconditional,good,48.70063542616528,0.0,0.0,11639458.397428334,261,0
scenario23_seq20,13,proposed,good,49.013846401229756,8.912213740458014,20.0,11786664.023083432,12,15
scenario23_seq20,13,periodic,good,49.01539336606501,4.469465648854962,9.0,11786664.023083432,26,0
scenario23_seq20,13,event,good,49.013228191885375,116.92366412213741,247.0,11786664.023083432,9,0
scenario23_seq20,13,unconditional,good,49.01211146846391,0.0,0.0,11786664.023083432,261,0
scenario23_seq20,14,proposed,good,50.897720683740054,9.335877862595419,20.0,12717375.333834374,13,12
scenario23_seq20,14,periodic,good,50.90132327379339,4.469465648854962,9.0,12717375.333834374,26,0
scenario23_seq20,14,event,good,50.90039652293289,99.6030534351145,227.0,12717375.333834374,9,0
scenario23_seq20,14,unconditional,good,50.89771618996183,0.0,0.0,12717375.333834374,261,0
scenario23_seq20,15,proposed,good,52.32516003526017,9.400763358778626,20.0,13431992.110168543,11,13
scenario23_seq20,15,periodic,good,52.32781109491938,4.469465648854962,9.0,13431992.110168543,26,0
scenario23_seq20,15,event,good,52.325395612463176,113.22900763358778,243.0,13431992.110168543,9,0
scenario23_seq20,15,unconditional,good,52.325156534869194,0.0,0.0,13431992.110168543,261,0
scenario23_seq20,16,proposed,good,56.21018399344047,9.473282442748092,20.0,15489969.131975537,9,13
scenario23_seq20,16,periodic,good,56.21445014013122,4.469465648854962,9.0,15489969.131975537,26,0
scenario23_seq20,16,event,good,56.210247702501206,118.81297709923665,249.0,15489969.131975537,8,0
scenario23_seq20,16,unconditional,good,56.21011140576917,0.0,0.0,15489969.131975537,261,0
scenario23_seq20,17,proposed,good,43.5868620514851,9.400763358778626,20.0,9329134.877879132,12,12
scenario23_seq20,17,periodic,good,43.58966012689495,4.469465648854962,9.0,9329134.877879132,26,0
scenario23_seq20,17,event,good,43.58696146495468,117.8587786259542,248.0,9329134.877879132,10,0
scenario23_seq20,17,unconditional,good,43.58676835106196,0.0,0.0,9329134.877879132,261,0
scenario23_seq20,18,proposed,good,43.5891508707787,9.030534351145038,20.0,9338205.789510123,12,15
scenario23_seq20,18,periodic,good,43.59081713361153,4.469465648854962,9.0,9338205.789510123,26,0
scenario23_seq20,18,event,good,43.58900647474293,106.15648854961832,235.0,9338205.789510123,10,0
scenario23_seq20,18,unconditional,good,43.587666858364145,0.0,0.0,9338205.789510123,261,0
scenario23_seq20,19,proposed,good,55.94708368186495,9.412213740458014,20.0,15348326.04642093,11,11
scenario23_seq20,19,periodic,good,55.94875075977284,4.469465648854962,9.0,15348326.04642093,26,0
scenario23_seq20,19,event,good,55.94787090515763,116.96564885496183,247.0,15348326.04642093,6,0
scenario23_seq20,19,unconditional,good,55.94615779277903,0.0,0.0,15348326.04642093,261,0
scenario23_seq20,20,proposed,good,32.295151665288365,4.847328244274809,20.0,5169946.247364566,22,34
scenario23_seq20,20,periodic,good,33.22492509642171,4.469465648854962,9.0,5169946.247364566,26,0
scenario23_seq20,20,event,good,32.347904446710146,37.92748091603053,134.0,5169946.247364566,22,0
scenario23_seq20,20,unconditional,good,32.28564096667278,0.0,0.0,5169946.247364566,261,0
scenario23_seq20,21,proposed,good,48.94274575204966,9.026717557251908,20.0,11755026.28773838,12,16
scenario23_seq20,21,periodic,good,48.94244253994465,4.469465648854962,9.0,11755026.28773838,26,0
scenario23_seq20,21,event,good,48.94374396802216,98.80152671755725,226.0,11755026.28773838,10,0
scenario23_seq20,21,unconditional,good,48.940841849943695,0.0,0.0,11755026.28773838,261,0
scenario23_seq20,22,proposed,good,51.299734686124,9.400763358778626,20.0,12912881.12580668,11,13
scenario23_seq20,22,periodic,good,51.30097680619931,4.469465648854962,9.0,12912881.12580668,26,0
scenario23_seq20,22,event,good,51.300172699842065,112.32442748091603,242.0,12912881.12580668,9,0
scenario23_seq20,22,unconditional,good,51.29962390124695,0.0,0.0,12912881.12580668,261,0
scenario23_seq20,23,proposed,good,49.94262510652082,9.118320610687023,20.0,12243805.555554148,11,17
scenario23_seq20,23,periodic,good,49.94390012436917,4.469465648854962,9.0,12243805.555554148,26,0
scenario23_seq20,23,event,good,49.9444961343186,94.2442748091603,220.0,12243805.555554148,10,0
scenario23_seq20,23,unconditional,good,49.94069391832016,0.0,0.0,12243805.555554148,261,0
scenario23_seq20,24,proposed,good,45.72420238775517,9.469465648854962,20.0,10268671.770484751,11,12
scenario23_seq20,24,periodic,good,45.726373721935786,4.469465648854962,9.0,10268671.770484751,26,0
scenario23_seq20,24,event,good,45.72442756839418,117.86259541984732,248.0,10268671.770484751,10,0
scenario23_seq20,24,unconditional,good,45.72393020082389,0.0,0.0,10268671.770484751,261,0
scenario23_seq20,25,proposed,good,66.21424040063873,9.469465648854962,20.0,21491989.33257983,12,11
scenario23_seq20,25,periodic,good,66.21734419856142,4.469465648854962,9.0,21491989.33257983,26,0
scenario23_seq20,25,event,good,66.21426122640392,118.80534351145039,249.0,21491989.33257983,10,0
scenario23_seq20,25,unconditional,good,66.21423938865712,0.0,0.0,21491989.33257983,261,0
scenario23_seq20,26,proposed,good,44.3386517970498,7.316793893129771,20.0,9646158.05445545,16,25
scenario23_seq20,26,periodic,good,44.375802973212316,4.469465648854962,9.0,9646158.05445545,26,0
scenario23_seq20,26,event,good,44.439775556098326,71.76335877862596,191.0,9646158.05445545,12,0
scenario23_seq20,26,unconditional,good,44.32977975048259,0.0,0.0,9646158.05445545,261,0
scenario23_seq20,27,proposed,good,46.913568831499745,9.335877862595419,20.0,10814531.972101416,14,11
scenario23_seq20,27,periodic,good,46.91608437507522,4.469465648854962,9.0,10814531.972101416,26,0
scenario23_seq20,27,event,good,46.91465841886336,116.91603053435115,247.0,10814531.972101416,10,0
scenario23_seq20,27,unconditional,good,46.912602456139766,0.0,0.0,10814531.972101416,261,0
scenario23_seq20,28,proposed,good,47.988914786575876,8.958015267175572,20.0,11305857.942092704,12,16
scenario23_seq20,28,periodic,good,47.99156058318616,4.469465648854962,9.0,11305857.942092704,26,0
scenario23_seq20,28,event,good,47.989880890923146,98.80534351145039,226.0,11305857.942092704,10,0
scenario23_seq20,28,unconditional,good,47.98703839659871,0.0,0.0,11305857.942092704,261,0
scenario23_seq20,29,proposed,good,48.19836296384587,9.469465648854962,20.0,11401113.775991702,12,11
scenario23_seq20,29,periodic,good,48.202126141034235,4.469465648854962,9.0,11401113.775991702,26,0
scenario23_seq20,29,event,good,48.1987326038392,118.80152671755725,249.0,11401113.775991702,11,0
scenario23_seq20,29,unconditional,good,48.19792711362798,0.0,0.0,11401113.775991702,261,0
scenario23_seq32,0,proposed,good,102.43144983009178,9.482428115015974,20.0,60654933.7790941,10,15
scenario23_seq32,0,periodic,good,102.43330370086169,4.466453674121405,9.0,60654933.7790941,31,0
scenario23_seq32,0,event,good,102.43149107315126,141.43130990415335,297.0,60654933.7790941,10,0
scenario23_seq32,0,unconditional,good,102.43144823453461,0.0,0.0,60654933.7790941,312,0
scenario23_seq32,1,proposed,good,102.6463621572247,9.134185303514377,20.0,60923551.96938347,9,19
