seq,filter,method,rmse_twin,mean_aoi,sync_count,fuse_count
scenario23_seq20,good,event,58.8522658706758,111.36768447837149,9.666666666666666,0.0
scenario23_seq20,good,periodic,58.852487212782535,4.469465648854962,26.0,0.0
scenario23_seq20,good,proposed,58.145301891882895,7.748091603053435,55.333333333333336,12.333333333333334
scenario23_seq20,good,unconditional,58.85043935763243,0.0,261.0,0.0
scenario23_seq32,good,event,102.48201917329409,134.36528221512248,8.333333333333334,0.0
scenario23_seq32,good,periodic,102.48254802673871,4.466453674121405,31.0,0.0
scenario23_seq32,good,proposed,101.77535695529588,6.710330138445154,98.33333333333333,13.333333333333334
scenario23_seq32,good,unconditional,102.48112206046392,0.0,312.0,0.0
scenario23_seq33,good,event,13.004752459792655,41.055330634278,33.0,0.0
scenario23_seq33,good,periodic,13.367951743693018,4.4757085020242915,49.0,0.0
scenario23_seq33,good,proposed,14.224471267234017,6.925101214574899,128.66666666666666,35.666666666666664
scenario23_seq33,good,unconditional,12.977045216370916,0.0,493.0,0.0
