seq,seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
scenario23_seq20,0,proposed,good,65.10048079741843,8.01526717557252,20.0,21295888.17411166,48,13
scenario23_seq20,0,periodic,good,65.98075000421751,4.469465648854962,9.0,21295888.17411166,26,0
scenario23_seq20,0,event,good,65.98504157757762,98.38931297709924,225.0,21295888.17411166,8,0
scenario23_seq20,0,unconditional,good,65.97963861293975,0.0,0.0,21295888.17411166,261,0
scenario23_seq20,1,proposed,good,58.874496098485345,8.01526717557252,20.0,17391663.778819907,49,12
scenario23_seq20,1,periodic,good,59.53124316438074,4.469465648854962,9.0,17391663.778819907,26,0
scenario23_seq20,1,event,good,59.52935226087703,117.85496183206106,248.0,17391663.778819907,11,0
scenario23_seq20,1,unconditional,good,59.529330249515496,0.0,0.0,17391663.778819907,261,0
scenario23_seq20,2,proposed,good,50.46092877974491,7.213740458015267,20.0,12783968.20175671,69,12
scenario23_seq20,2,periodic,good,51.04546846974935,4.469465648854962,9.0,12783968.20175671,26,0
scenario23_seq20,2,event,good,51.04240377357274,117.8587786259542,248.0,12783968.20175671,10,0
scenario23_seq20,2,unconditional,good,51.04234921044205,0.0,0.0,12783968.20175671,261,0
scenario23_seq32,0,proposed,good,101.72892486748974,6.7092651757188495,20.0,60659253.334515594,99,13
scenario23_seq32,0,periodic,good,102.44124687137618,4.466453674121405,9.0,60659253.334515594,31,0
scenario23_seq32,0,event,good,102.43943447690565,141.43130990415335,297.0,60659253.334515594,10,0
scenario23_seq32,0,unconditional,good,102.43939159974144,0.0,0.0,60659253.334515594,312,0
scenario23_seq32,1,proposed,good,101.98280892991124,6.7092651757188495,20.0,60937404.29247826,99,13
scenario23_seq32,1,periodic,good,102.66121045435791,4.466453674121405,9.0,60937404.29247826,31,0
scenario23_seq32,1,event,good,102.6626132801418,115.47284345047925,266.0,60937404.29247826,9,0
scenario23_seq32,1,unconditional,good,102.6599769104306,0.0,0.0,60937404.29247826,312,0
scenario23_seq32,2,proposed,good,101.61433706848663,6.712460063897764,20.0,60561036.83423737,97,14
scenario23_seq32,2,periodic,good,102.34518675448204,4.466453674121405,9.0,60561036.83423737,31,0
scenario23_seq32,2,event,good,102.34400976283486,146.19169329073483,302.0,60561036.83423737,6,0
scenario23_seq32,2,unconditional,good,102.34399767121968,0.0,0.0,60561036.83423737,312,0
scenario23_seq33,0,proposed,good,3.047981346693585,7.651821862348178,20.0,85871.15097126778,107,26
scenario23_seq33,0,periodic,good,2.6195316057056757,4.4757085020242915,9.0,85871.15097126778,49,0
scenario23_seq33,0,event,good,2.460668307233563,14.712550607287447,77.0,85871.15097126778,36,0
scenario23_seq33,0,unconditional,good,2.430026937061487,0.0,0.0,85871.15097126778,493,0
scenario23_seq33,1,proposed,good,4.2565544902651995,5.684210526315789,20.0,142539.8860505857,174,47
scenario23_seq33,1,periodic,good,3.682805227701837,4.4757085020242915,9.0,142539.8860505857,49,0
scenario23_seq33,1,event,good,3.4063806208607916,17.973684210526315,98.0,142539.8860505857,35,0
scenario23_seq33,1,unconditional,good,3.3800659120225705,0.0,0.0,142539.8860505857,493,0
scenario23_seq33,2,proposed,good,35.36887796474327,7.439271255060729,20.0,9966706.692085618,105,34
scenario23_seq33,2,periodic,good,33.80151839767154,4.4757085020242915,9.0,9966706.692085618,49,0
scenario23_seq33,2,event,good,33.14720845128361,90.47975708502024,294.0,9966706.692085618,28,0
scenario23_seq33,2,unconditional,good,33.12104280002869,0.0,0.0,9966706.692085618,493,0
