seq,seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
scenario23_seq20,0,proposed,good,65.10048079741843,8.01526717557252,20.0,21295888.17411166,48,13
scenario23_seq20,0,periodic,good,65.98075000421751,4.469465648854962,9.0,21295888.17411166,26,0
scenario23_seq20,0,event,good,65.98504157757762,98.38931297709924,225.0,21295888.17411166,8,0
scenario23_seq20,0,unconditional,good,65.97963861293975,0.0,0.0,21295888.17411166,261,0
scenario23_seq20,1,proposed,good,58.874496098485345,8.01526717557252,20.0,17391663.778819907,49,12
scenario23_seq20,1,periodic,good,59.53124316438074,4.469465648854962,9.0,17391663.778819907,26,0
scenario23_seq20,1,event,good,59.52935226087703,117.85496183206106,248.0,17391663.778819907,11,0
scenario23_seq20,1,unconditional,good,59.529330249515496,0.0,0.0,17391663.778819907,261,0
scenario23_seq20,2,proposed,good,50.46092877974491,7.213740458015267,20.0,12783968.20175671,69,12
scenario23_seq20,2,periodic,good,51.04546846974935,4.469465648854962,9.0,12783968.20175671,26,0
scenario23_seq20,2,event,good,51.04240377357274,117.8587786259542,248.0,12783968.20175671,10,0
scenario23_seq20,2,unconditional,good,51.04234921044205,0.0,0.0,12783968.20175671,261,0
scenario23_seq32,0,proposed,good,101.72892486748974,6.7092651757188495,20.0,60659253.334515594,99,13
scenario23_seq32,0,periodic,good,102.44124687137618,4.466453674121405,9.0,60659253.334515594,31,0
scenario23_seq32,0,event,good,102.43943447690565,141.43130990415335,297.0,60659253.334515594,10,0
scenario23_seq32,0,unconditional,good,102.43939159974144,0.0,0.0,60659253.334515594,312,0
scenario23_seq32,1,proposed,good,101.98280892991124,6.7092651757188495,20.0,60937404.29247826,99,13
scenario23_seq32,1,periodic,good,102.66121045435791,4.466453674121405,9.0,60937404.29247826,31,0
scenario23_seq32,1,event,good,102.6626132801418,115.47284345047925,266.0,60937404.29247826,9,0
scenario23_seq32,1,unconditional,good,102.6599769104306,0.0,0.0,60937404.29247826,312,0
scenario23_seq32,2,proposed,good,101.61433706848663,6.712460063897764,20.0,60561036.83423737,97,14
scenario23_seq32,2,periodic,good,102.34518675448204,4.466453674121405,9.0,60561036.83423737,31,0
scenario23_seq32,2,event,good,102.34400976283486,146.19169329073483,302.0,60561036.83423737,6,0
scenario23_seq32,2,unconditional,good,102.34399767121968,0.0,0.0,60561036.83423737,312,0
