scenario_order,scenario,scenario_title,controller_order,controller,controller_label,line_style,time_s,mean_tracking_error_m,ci95_m,ci_low_m,ci_high_m,n_seeds,n_samples,fault_active,fault_window_start_s,fault_window_end_s,figure_annotation
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.0,0.012980640252471894,0.006670562878924037,0.006310077373547857,0.01965120313139593,10,30,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.1,0.06360287762325557,0.010972789759974084,0.052630087863281494,0.07457566738322965,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.2,0.12364554863723975,0.010288295363938537,0.11335725327330122,0.1339338440011783,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.3,0.17430147956821174,0.007604398325041627,0.16669708124317012,0.18190587789325335,10,40,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.4,0.2210849917895343,0.008864907487293931,0.21222008430224037,0.22994989927682824,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.5,0.2687315881685116,0.008023124844754276,0.26070846332375736,0.2767547130132659,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.6,0.31119056397699896,0.007056295744498913,0.30413426823250006,0.31824685972149785,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.7,0.34500404418664604,0.004996982244283633,0.3400070619423624,0.3500010264309297,10,40,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.8,0.37453697309358347,0.005423900417783283,0.3691130726758002,0.37996087351136676,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,0.9,0.4023737645644688,0.004520764759437893,0.3978529998050309,0.40689452932390674,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,1.0,0.42511120218641507,0.0036346651139955027,0.42147653707241955,0.4287458673004106,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,1.1,0.4429781672007777,0.0028072739522817733,0.44017089324849595,0.44578544115305946,10,50,False,20.0,30.0,Largest improvement
1,wind,Wind Disturbance (Dynamics Fault),1,pid,PID (Baseline),solid_gray,1.2,0.4560489427885935,0.002033582993310019,0.45401535979528346,0.4580825257819035,10,50,False,20.0,30.0,Largest improvement
