flight,method,label,rmse_m,mean_nees,mean_pos_nees,lqg_cost,mean_dt_err_m,soft_rew_rate,hard_rej_rate,outlier_count
Opt1_rerun,adaptive_r,Radar-SINR adaptive R,170.1015212436117,32.758055244332105,16.587650463600852,1377376508.1541786,127.27428866988896,0.0,0.0,1522
Opt1_rerun,adaptive_r_gate,Adaptive R + NIS gate,166.140468217096,31.344522130049423,15.601485170936163,1313448704.7592504,124.26907825528208,0.003702724147051,0.0,1522
Opt1_rerun,fixed_kf,Fixed-R KF,158.56185517378572,121.31304037297772,63.77371322632154,1197996672.035172,139.75839899181003,0.0,0.0,1522
Opt2,adaptive_r,Radar-SINR adaptive R,99.88508330966924,147.0465618528244,33.089511782561196,395618724.6874868,71.71660637404146,0.0,0.0,884
Opt2,adaptive_r_gate,Adaptive R + NIS gate,98.03046387509288,146.4730511000251,32.781310871674464,381147231.2863616,70.88047169859037,0.0025510204081632,0.0,884
Opt2,fixed_kf,Fixed-R KF,109.33272620447391,190.1100390669525,55.96903321879507,473530432.9877485,93.75783170863863,0.0,0.0,884
Opt3,adaptive_r,Radar-SINR adaptive R,125.7259881588771,441.2951183928016,92.7616761774092,677713624.8102103,94.87532653448828,0.0,0.0,1085
Opt3,adaptive_r_gate,Adaptive R + NIS gate,124.27470953550304,440.7803512483286,92.47663954598342,662190017.4043771,92.9906035276072,0.0041164363422522,0.0,1085
Opt3,fixed_kf,Fixed-R KF,137.68716020023484,514.1310932013707,130.35700698138373,811111438.9914428,122.10002798524982,0.0,0.0,1085
AADM6,adaptive_r,Radar-SINR adaptive R,145.2628708916438,105.45987287315567,30.79257329971737,617629303.3417114,113.04965253734524,0.0,0.0,428
AADM6,adaptive_r_gate,Adaptive R + NIS gate,141.36738962092332,104.41184859181956,30.230403646442426,584723387.1797135,109.15975789999472,0.0017189514396218,0.0,428
AADM6,fixed_kf,Fixed-R KF,129.31772227933186,151.23907209176127,55.47433089277502,490472468.4232589,107.39787002605884,0.0,0.0,428
AADM3,adaptive_r,Radar-SINR adaptive R,103.49528110870207,11.259766737016568,5.87238941455107,357239315.80199355,97.2900457514164,0.0,0.0,66
AADM3,adaptive_r_gate,Adaptive R + NIS gate,103.49528110870207,11.259766737016568,5.87238941455107,357239315.80199355,97.2900457514164,0.0,0.0,66
AADM3,fixed_kf,Fixed-R KF,92.17893195200269,41.73600168449424,21.47180716826022,283175529.5475271,90.7690845502322,0.0,0.0,66
