dataset,case,filter,n_seeds,proposed_rmse,periodic_rmse,event_rmse,unconditional_rmse,rmse_gain_vs_periodic_pct,rmse_gap_vs_unconditional_pct,proposed_aoi,periodic_aoi,event_aoi,unconditional_aoi,aoi_reduction_vs_event_pct,proposed_syncs,periodic_syncs,event_syncs,unconditional_syncs,sync_reduction_vs_periodic_pct,proposed_fuses
Synthetic Option B,aggregate,fixed,30,0.37602913550741135,0.5325129782793233,0.41776947370138007,0.3530522269126329,29.385920936152328,6.508076381703262,1.6104166666666666,4.5,6.9811250000000005,0.0,76.93184598948355,54.03333333333333,80.0,148.56666666666666,800.0,32.458333333333336,382.1
Synthetic Option B,aggregate,good,30,0.8684000924026384,0.922357974248834,0.9399118323068406,0.8512684248035526,5.849993533165778,2.012487142705813,4.108666666666667,4.5,19.876916666666666,0.0,79.3294566980962,4.933333333333334,80.0,26.433333333333334,800.0,93.83333333333333,157.26666666666668
DeepSense Scenario 23,scenario23_seq20,fixed,30,0.8960695762487518,1.7457753069750295,0.8936810638159868,0.8215725202536298,48.67211303375545,9.06761778888659,0.0368956743002544,4.469465648854962,1.0888040712468194,0.0,96.61135779387708,67.03333333333333,26.0,119.06666666666666,261.0,-157.82051282051282,186.3
DeepSense Scenario 23,scenario23_seq32,fixed,30,0.6897838871292671,1.3678187843032164,0.6987224198685175,0.6318106160519004,49.570520960446416,9.175735513852853,0.28317358892438765,4.466453674121405,2.2456869009584666,0.0,87.39033527765923,53.0,31.0,108.7,312.0,-70.96774193548387,213.66666666666666
DeepSense Scenario 23,scenario23_seq33,fixed,30,0.5003323692969311,1.00064165452933,0.5203700338271378,0.45294317801815254,49.998846536898206,10.462502490076005,0.8116059379217274,4.4757085020242915,4.543049932523616,0.0,82.1352186311787,40.63333333333333,49.0,121.96666666666667,493.0,17.07482993197279,309.9
DeepSense Scenario 23,scenario23_seq20,good,30,50.42382320452847,50.45827956275503,50.430769805255814,50.421933892415964,0.0682868273059333,0.0037470044614599353,8.93498727735369,4.469465648854962,108.44516539440204,0.0,91.76082470356496,12.233333333333333,26.0,10.0,261.0,52.94871794871795,15.0
DeepSense Scenario 23,scenario23_seq32,good,30,101.8462458454061,101.84720978383599,101.84619729915865,101.84559472804791,0.000946455412903925,0.0006393181363681922,9.297444089456869,4.466453674121405,135.40564430244942,0.0,93.13363623994167,8.733333333333333,31.0,7.9,312.0,71.82795698924731,16.666666666666668
DeepSense Scenario 23,scenario23_seq33,good,30,4.077814582027731,4.300851367576953,4.102305894745054,4.071365878218662,5.185875225324931,0.1583916553304239,3.2027665317139,4.4757085020242915,19.366801619433197,0.0,83.46259441982329,18.833333333333332,49.0,34.666666666666664,493.0,61.564625850340136,156.33333333333334
AERPAW/Fortem radar,Opt1,fixed,30,115.7565670173623,119.91442884964536,115.66827034750284,115.6682913609894,3.467357408253508,0.07631793928502037,0.8396917148362235,4.4944823962165,0.0042038885969521,0.0,-19874.16666666705,409.06666666666666,190.0,1894.0,1902.0,-115.29824561403508,986.7333333333333
AERPAW/Fortem radar,Opt2,fixed,30,36.02579562585455,40.8334051898004,35.61264962910845,35.61257036676543,11.773716988821507,1.1603353951523518,1.2788599889319314,4.494189263973436,0.013835085777531802,0.0,-9143.600000000013,111.46666666666667,180.0,1783.0,1806.0,38.07407407407407,982.8333333333334
AERPAW/Fortem radar,Opt3,fixed,30,49.0522568341016,61.11884059114771,48.69214043483886,48.69228650705934,19.74282175567611,0.7392758748145194,0.7320040899795501,4.5,0.0018404907975459997,0.0,-39672.222222222495,351.7,162.0,1626.0,1629.0,-117.09876543209876,844.2666666666667
AERPAW/Fortem radar,Opt1,good,30,118.34445338522247,120.71603528554287,118.1818532851054,118.1815157073266,1.964595585591131,0.13787069570116153,1.564407076545805,4.4944823962165,0.024785426519530522,0.0,-6211.802120141355,71.5,190.0,1855.5,1902.0,62.36842105263158,1036.3333333333333
AERPAW/Fortem radar,Opt2,good,30,40.33399630751061,46.18706188215014,39.608748536766555,39.606384175904076,12.672521992358119,1.8371082004734036,1.8519645821804096,4.494189263973436,0.09317469101641758,0.0,-1887.6262126311633,31.133333333333333,180.0,1660.4333333333334,1806.0,82.70370370370371,790.2666666666667
AERPAW/Fortem radar,Opt3,good,30,46.84188580510799,52.56862761465253,46.4759069493508,46.47591396894988,10.893839290467442,0.7874440864199297,1.476830265848671,4.5,0.025316973415132876,0.0,-5733.360258481433,69.36666666666666,162.0,1588.0,1629.0,57.18106995884774,824.7333333333333
