condition,controller_label,pre_fault_error_m,fault_error_m,post_fault_error_m,degradation_pct,post_degradation_pct,peak_error_spike_m,recovery_time_s,settling_time_s,rmse_m,max_formation_deformation_m,spacing_violation_count,time_above_safety_s,control_effort_total,mean_connectivity,mean_comm_health,stable_run_fraction,security_DR,security_FAR,security_AA,security_raw_AA,security_TTD_s,security_DisR,security_FCA_m,fault_error_std,fault_error_ci95,rmse_ci95
nominal,failure_aware,0.1584752320170182,0.1622584505261578,0.1528399424282069,2.387472518124413,-3.555762594188701,0.1723790327319924,0.0,0.0,0.1632066127968028,0.0150576917109467,0.0,0.0,128.93445118914255,1.0,1.0,1.0,0.0001388888888888,0.0002777777777777,,,,,0.005797142603084,0.0002787123475286,9.973593266715876e-05,5.9511949011668607e-05
nominal,generic,0.2786252572547282,0.2839859146275234,0.264766814039741,1.9242940100294177,-4.973616606695817,0.2981428615077798,0.0,0.0,0.2820032647981472,0.2202978415333376,0.0,0.0,87.55959742736246,1.0,1.0,1.0,0.0001388888888888,0.0002777777777777,,,,,0.0064797463982096,0.0006259481520158,0.0002239926694893,9.596230684096454e-05
nominal,pid,0.2772754575113509,0.2847266724506728,0.2649205074176643,2.6876300171837366,-4.455588939651368,0.2983971614871338,0.0,0.0,0.2791294796176474,0.0153537578545071,0.0,0.0,87.50384261363783,1.0,1.0,1.0,0.0001388888888888,0.0002777777777777,,,,,0.0064804603226154,0.0006257995459256,0.0002239394914829,9.64337990132699e-05
wind,failure_aware,0.1584752320170182,0.1505625804992217,0.1319852331314324,-4.99273286301568,-16.715398008598033,0.2691659095570722,0.0,1.0256944444444442,0.1596773140516223,0.0150571736184278,0.0,0.0,135.11514443620234,1.0,1.0,1.0,0.0003472222222222,0.0002777777777777,0.0,0.4139583333333333,,1.0,0.0058028745164055,0.0003130076244202,0.0001120083398898,6.126085897168689e-05
wind,generic,0.2786252572547282,0.3917925063446776,0.2487571894650526,40.61671630585397,-10.719582755376711,0.7155658965594225,11.355555555555556,1.6409722222222212,0.32251178105716,0.2237161359139418,0.0,0.0,96.50718245835375,1.0,1.0,1.0,0.0002777777777777,0.0002777777777777,0.0,0.4125694444444444,,1.0,0.043754759032873,0.0006500790601117,0.0002326278040515,0.0001106428988832
wind,pid,0.2772754575113509,0.3961009441776423,0.2440691328797893,42.855118526401746,-11.97572063849393,0.630092138755077,11.25138888888889,1.5027777777777775,0.3193560780863064,0.0152840272904992,0.0,0.0,96.30363880806571,1.0,1.0,1.0,0.0002777777777777,0.0002777777777777,0.0,0.4126388888888889,,1.0,0.0064602663796768,0.0006657483973103,0.0002382350043554,0.0001135898074507
sensor,failure_aware,0.1584752320170182,1.2315086274842617,0.3543681067232471,677.0725376997885,123.62408265829764,2.073895660112046,14.5625,1.6090277777777773,0.687785808571266,2.398895822812095,197.6,1.7854166666666669,164.4135921595253,1.0,1.0,1.0,1.0,0.0002777777777777,,,0.1375000000000003,,1.5269858950820931,0.1289464675995848,0.046142900823069,0.0232143299911147
sensor,generic,0.2786252572547282,1.1158472129307042,0.3624086020996155,300.4691867836071,30.070753733622116,1.9150799754731256,13.2125,2.1756944444444444,0.6481558539127928,1.9839137609034776,221.93333333333337,0.7548611111111111,152.0382027014025,1.0,1.0,1.0,1.0,0.0002777777777777,,,0.8041666666666667,,1.3487576639779109,0.1287578929979211,0.0460754202685079,0.0224695239673084
sensor,pid,0.2772754575113509,1.1012502727541025,0.3488558710110536,297.1558169475568,25.816614026546937,1.834515558269813,12.988194444444444,2.236805555555556,0.6376065063868895,2.0801397418502443,227.66666666666663,0.6284722222222221,151.81215070809964,1.0,1.0,1.0,1.0,0.0002777777777777,,,0.8041666666666667,,1.3476702393258229,0.1210772305652281,0.0433269305154752,0.0212247147773185
jamming_full,failure_aware,0.1584752320170182,0.2336464471083243,0.2292453562912584,47.43434637565479,44.65719647807429,0.2566526443653798,,0.0,0.2026848335605642,0.0149326587214205,0.0,0.0,129.02254063844944,1.0,0.85,1.0,1.0,0.0002777777777777,1.0,1.0,0.0,,0.0057141169834699,0.0002938876163227,0.0001051663328631,5.758132433945318e-05
